Date,Value
1980-10-31,2045.89
1980-09-30,2059.11
1980-08-31,2081.16
1980-07-31,2175.96
1980-06-30,2006.2
1980-05-31,2076.75
1980-04-30,2074.55
1980-03-31,2303.83
1980-02-29,2916.71
1980-01-31,2592.63
