Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,086071,1885,08,15.4,Y
IDCJAC0002,086071,1885,09,16.1,Y
IDCJAC0002,086071,1885,10,19.6,Y
IDCJAC0002,086071,1885,11,20.8,Y
IDCJAC0002,086071,1885,12,24.2,Y
IDCJAC0002,086071,1886,01,25.7,Y
IDCJAC0002,086071,1886,02,22.4,Y
IDCJAC0002,086071,1886,03,21.4,Y
IDCJAC0002,086071,1886,04,20.2,Y
IDCJAC0002,086071,1886,05,16.1,Y
IDCJAC0002,086071,1886,06,14.1,Y
IDCJAC0002,086071,1886,07,13.8,Y
IDCJAC0002,086071,1886,08,14.2,Y
IDCJAC0002,086071,1886,09,18.5,Y
IDCJAC0002,086071,1886,10,17.5,Y
IDCJAC0002,086071,1886,11,22.9,Y
IDCJAC0002,086071,1886,12,23.0,Y
IDCJAC0002,086071,1887,01,27.0,Y
IDCJAC0002,086071,1887,02,25.8,Y
IDCJAC0002,086071,1887,03,24.5,Y
IDCJAC0002,086071,1887,04,20.1,Y
IDCJAC0002,086071,1887,05,14.6,Y
IDCJAC0002,086071,1887,06,12.1,Y
IDCJAC0002,086071,1887,07,12.8,Y
IDCJAC0002,086071,1887,08,14.2,Y
IDCJAC0002,086071,1887,09,15.2,Y
IDCJAC0002,086071,1887,10,18.7,Y
IDCJAC0002,086071,1887,11,19.4,Y
IDCJAC0002,086071,1887,12,24.6,Y
IDCJAC0002,086071,1888,01,23.2,Y
IDCJAC0002,086071,1888,02,24.7,Y
IDCJAC0002,086071,1888,03,20.7,Y
IDCJAC0002,086071,1888,04,21.1,Y
IDCJAC0002,086071,1888,05,16.2,Y
IDCJAC0002,086071,1888,06,14.5,Y
IDCJAC0002,086071,1888,07,13.0,Y
IDCJAC0002,086071,1888,08,13.7,Y
IDCJAC0002,086071,1888,09,16.9,Y
IDCJAC0002,086071,1888,10,18.4,Y
IDCJAC0002,086071,1888,11,23.4,Y
IDCJAC0002,086071,1888,12,25.9,Y
IDCJAC0002,086071,1889,01,25.3,Y
IDCJAC0002,086071,1889,02,24.5,Y
IDCJAC0002,086071,1889,03,24.3,Y
IDCJAC0002,086071,1889,04,20.9,Y
IDCJAC0002,086071,1889,05,16.7,Y
IDCJAC0002,086071,1889,06,14.1,Y
IDCJAC0002,086071,1889,07,13.0,Y
IDCJAC0002,086071,1889,08,14.3,Y
IDCJAC0002,086071,1889,09,16.3,Y
IDCJAC0002,086071,1889,10,19.8,Y
IDCJAC0002,086071,1889,11,21.7,Y
IDCJAC0002,086071,1889,12,23.7,Y
IDCJAC0002,086071,1890,01,28.8,Y
IDCJAC0002,086071,1890,02,27.8,Y
IDCJAC0002,086071,1890,03,25.2,Y
IDCJAC0002,086071,1890,04,20.9,Y
IDCJAC0002,086071,1890,05,17.1,Y
IDCJAC0002,086071,1890,06,14.8,Y
IDCJAC0002,086071,1890,07,12.6,Y
IDCJAC0002,086071,1890,08,14.4,Y
IDCJAC0002,086071,1890,09,17.1,Y
IDCJAC0002,086071,1890,10,18.6,Y
IDCJAC0002,086071,1890,11,19.4,Y
IDCJAC0002,086071,1890,12,21.5,Y
IDCJAC0002,086071,1891,01,24.6,Y
IDCJAC0002,086071,1891,02,24.1,Y
IDCJAC0002,086071,1891,03,24.3,Y
IDCJAC0002,086071,1891,04,19.0,Y
IDCJAC0002,086071,1891,05,17.6,Y
IDCJAC0002,086071,1891,06,13.6,Y
IDCJAC0002,086071,1891,07,13.2,Y
IDCJAC0002,086071,1891,08,14.7,Y
IDCJAC0002,086071,1891,09,17.3,Y
IDCJAC0002,086071,1891,10,18.5,Y
IDCJAC0002,086071,1891,11,20.3,Y
IDCJAC0002,086071,1891,12,22.7,Y
IDCJAC0002,086071,1892,01,24.6,Y
IDCJAC0002,086071,1892,02,25.1,Y
IDCJAC0002,086071,1892,03,24.6,Y
IDCJAC0002,086071,1892,04,18.4,Y
IDCJAC0002,086071,1892,05,16.0,Y
IDCJAC0002,086071,1892,06,13.8,Y
IDCJAC0002,086071,1892,07,12.7,Y
IDCJAC0002,086071,1892,08,14.4,Y
IDCJAC0002,086071,1892,09,15.9,Y
IDCJAC0002,086071,1892,10,18.5,Y
IDCJAC0002,086071,1892,11,21.5,Y
IDCJAC0002,086071,1892,12,21.2,Y
IDCJAC0002,086071,1893,01,24.8,Y
IDCJAC0002,086071,1893,02,25.5,Y
IDCJAC0002,086071,1893,03,24.6,Y
IDCJAC0002,086071,1893,04,19.4,Y
IDCJAC0002,086071,1893,05,16.8,Y
IDCJAC0002,086071,1893,06,12.7,Y
