Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,086071,1896,05,66.5,Y
IDCJAC0001,086071,1896,06,65.3,Y
IDCJAC0001,086071,1896,07,58.8,Y
IDCJAC0001,086071,1896,08,70.1,Y
IDCJAC0001,086071,1896,09,49.3,Y
IDCJAC0001,086071,1896,10,18.1,Y
IDCJAC0001,086071,1896,11,20.0,Y
IDCJAC0001,086071,1896,12,29.6,Y
IDCJAC0001,086071,1897,01,138.7,Y
IDCJAC0001,086071,1897,02,75.6,Y
IDCJAC0001,086071,1897,03,38.0,Y
IDCJAC0001,086071,1897,04,16.3,Y
IDCJAC0001,086071,1897,05,50.2,Y
IDCJAC0001,086071,1897,06,41.8,Y
IDCJAC0001,086071,1897,07,62.2,Y
IDCJAC0001,086071,1897,08,48.3,Y
IDCJAC0001,086071,1897,09,64.7,Y
IDCJAC0001,086071,1897,10,45.2,Y
IDCJAC0001,086071,1897,11,21.0,Y
IDCJAC0001,086071,1897,12,55.8,Y
IDCJAC0001,086071,1898,01,7.6,Y
IDCJAC0001,086071,1898,02,7.1,Y
IDCJAC0001,086071,1898,03,29.2,Y
IDCJAC0001,086071,1898,04,40.7,Y
IDCJAC0001,086071,1898,05,55.1,Y
IDCJAC0001,086071,1898,06,39.9,Y
IDCJAC0001,086071,1898,07,47.6,Y
IDCJAC0001,086071,1898,08,23.6,Y
IDCJAC0001,086071,1898,09,73.6,Y
IDCJAC0001,086071,1898,10,30.9,Y
IDCJAC0001,086071,1898,11,17.1,Y
IDCJAC0001,086071,1898,12,24.7,Y
IDCJAC0001,086071,1899,01,99.2,Y
IDCJAC0001,086071,1899,02,36.6,Y
IDCJAC0001,086071,1899,03,75.8,Y
IDCJAC0001,086071,1899,04,64.0,Y
IDCJAC0001,086071,1899,05,90.0,Y
IDCJAC0001,086071,1899,06,77.5,Y
IDCJAC0001,086071,1899,07,32.8,Y
IDCJAC0001,086071,1899,08,63.6,Y
IDCJAC0001,086071,1899,09,28.3,Y
IDCJAC0001,086071,1899,10,83.4,Y
IDCJAC0001,086071,1899,11,51.3,Y
IDCJAC0001,086071,1899,12,31.2,Y
IDCJAC0001,086071,1900,01,84.0,Y
IDCJAC0001,086071,1900,02,11.7,Y
IDCJAC0001,086071,1900,03,100.4,Y
